	state	time	stop	file	offset	wc	bp	hg
I	490.0	False	../../0/0/0-0.trr	49093296	0.975803315639	0.694353818893	0.61942076683
I	495.0	False	../../0/0/0-0.trr	49594248	0.946321547031	0.68898832798	0.581991612911
I	500.0	False	../../0/0/0-0.trr	50095200	0.893483579159	0.595104336739	0.535542666912
I	505.0	False	../../0/0/0-0.trr	50596152	0.831937909126	0.549684345722	0.475275039673
I	510.0	False	../../0/0/0-0.trr	51097104	0.816504240036	0.523970603943	0.515758633614
I	515.0	False	../../0/0/0-0.trr	51598056	0.621091127396	0.273430675268	0.384345501661
B	520.0	True	../../0/0/0-0.trr	52099008	0.60790014267	0.276876926422	0.308385640383
I	525.0	False	../../0/0/0-0.trr	52599960	0.640155017376	0.285396665335	0.376285195351
B	530.0	True	../../0/0/0-0.trr	53100912	0.58770775795	0.285857826471	0.314451903105
I	535.0	False	../../0/0/0-0.trr	53601864	0.635281503201	0.289948433638	0.36946696043
B	540.0	True	../../0/0/0-0.trr	54102816	0.587434351444	0.286669641733	0.287481039762
B	545.0	True	../../0/0/0-0.trr	54603768	0.579731225967	0.266055911779	0.31686347723
B	550.0	True	../../0/0/0-0.trr	55104720	0.593885481358	0.288715869188	0.323120206594
B	555.0	True	../../0/0/0-0.trr	55605672	0.618182957172	0.297541618347	0.314538627863
B	560.0	True	../../0/0/0-0.trr	56106624	0.588935613632	0.287076324224	0.305167883635
B	565.0	True	../../0/0/0-0.trr	56607576	0.586638867855	0.300348043442	0.295727074146
B	570.0	True	../../0/0/0-0.trr	57108528	0.581434905529	0.287563145161	0.292346805334
B	575.0	True	../../0/0/0-0.trr	57609480	0.566404521465	0.268504887819	0.304386138916
B	580.0	True	../../0/0/0-0.trr	58110432	0.573791444302	0.290966182947	0.287001013756
B	585.0	True	../../0/0/0-0.trr	58611384	0.572998225689	0.283295631409	0.291119247675
B	590.0	True	../../0/0/0-0.trr	59112336	0.578973531723	0.282378166914	0.29516929388
B	595.0	True	../../0/0/0-0.trr	59613288	0.582316339016	0.285921663046	0.292006582022
B	600.0	True	../../0/0/0-0.trr	60114240	0.569677829742	0.287917405367	0.313765197992
B	605.0	True	../../0/0/0-0.trr	60615192	0.571962893009	0.298676550388	0.29153701663
B	610.0	True	../../0/0/0-0.trr	61116144	0.592261850834	0.301789730787	0.298190414906
B	615.0	True	../../0/0/0-0.trr	61617096	0.590209066868	0.280604839325	0.302679032087
B	620.0	True	../../0/0/0-0.trr	62118048	0.594162344933	0.292513906956	0.2904035151
B	625.0	True	../../0/0/0-0.trr	62619000	0.562411189079	0.284039497375	0.288283973932
B	630.0	True	../../0/0/0-0.trr	63119952	0.589409947395	0.284371525049	0.293364614248
B	635.0	True	../../0/0/0-0.trr	63620904	0.612281620502	0.289813697338	0.309680700302
B	640.0	True	../../0/0/0-0.trr	64121856	0.56853890419	0.297980695963	0.287935733795
B	645.0	True	../../0/0/0-0.trr	64622808	0.575071513653	0.286088138819	0.293682068586
B	650.0	True	../../0/0/0-0.trr	65123760	0.606137394905	0.311881273985	0.308254212141
B	655.0	True	../../0/0/0-0.trr	65624712	0.594215452671	0.297298103571	0.305613219738
B	660.0	True	../../0/0/0-0.trr	66125664	0.592740178108	0.292434513569	0.317457437515
B	665.0	True	../../0/0/0-0.trr	66626616	0.560049712658	0.287677139044	0.279820501804
B	670.0	True	../../0/0/0-0.trr	67127568	0.581002950668	0.307621628046	0.303413331509
B	675.0	True	../../0/0/0-0.trr	67628520	0.584416389465	0.292353153229	0.291187077761
B	680.0	True	../../0/0/0-0.trr	68129472	0.582818567753	0.285904675722	0.312895864248
